	Production to Worldwide Ratio	Movie	IMDB
0	6.550397605	Avatar	7.800000191
1	2.546672857	Pirates of the Caribbean: On Stranger Tides	6.599999905
2	4.259584761	Avengers: Age of Ultron	7.400000095
3	6.72765433	Star Wars Ep. VII: The Force Awakens	8
4	3.211401417	Pirates of the Caribbean: At World�s End	7
5	2.18001981	Justice League	7
6	2.932069743	Spectre	6.800000191
7	3.943414905	The Dark Knight Rises	8.399999619
8	0.945462236	The Lone Ranger	6.5
9	1.028284	John Carter	6.599999905
10	2.255681692	Tangled	7.800000191
11	3.468450504	Spider-Man 3	6.199999809
12	4.61321798	Captain America: Civil War	7.900000095
13	3.472640776	Batman v Superman: Dawn of Justice	6.599999905
14	4.068014272	The Hobbit: An Unexpected Journey	7.900000095
15	3.740334744	Harry Potter and the Half-Blood Prince	7.5
16	3.84146742	The Hobbit: The Desolation of Smaug	7.900000095
17	3.820479152	The Hobbit: The Battle of the Five Armies	7.400000095
18	4.949864104	The Fate of the Furious	6.800000191
19	1.612435625	Superman Returns	6
20	3.455473374	Pirates of the Caribbean: Dead Men Tell No Tales	6.699999809
21	2.572574252	Quantum of Solace	6.599999905
22	6.753242431	The Avengers	8
23	4.738736942	Pirates of the Caribbean: Dead Man�s Chest	7.300000191
24	2.968886747	Man of Steel	7
25	1.854850169	The Chronicles of Narnia: Prince Caspian	6.599999905
26	3.444955759	The Amazing Spider-Man	7
27	2.78326582	Transformers: The Last Knight	5.199999809
28	7.775072526	Jurassic World	7
29	3.042853419	Men in Black 3	6.800000191
30	3.983427138	Transformers: Revenge of the Fallen	6
31	5.257328933	Transformers: Age of Extinction	5.699999809
32	2.186956886	X-Men: The Last Stand	6.699999809
33	1.534483752	Robin Hood	6.699999809
34	1.460374297	Battleship	5.800000191
35	2.65950414	King Kong	7.199999809
36	1.791524673	The Golden Compass	6
37	11.04153655	Titanic	7.800000191
38	5.25494244	Rogue One: A Star Wars Story	7.800000191
39	5.11308688	Finding Dory	7.400000095
40	5.34833002	Toy Story 3	8.300000191
41	6.07696136	Iron Man 3	7.199999809
42	4.318065505	Guardians of the Galaxy Vol 2	7.800000191
43	3.97555335	Spider-Man 2	7.300000191
44	5.12745555	Alice in Wonderland	6.5
45	5.552634905	Skyfall	7.800000191
46	3.717941645	Monsters University	7.300000191
47	2.451795255	Oz the Great and Powerful	6.300000191
48	3.739313875	X-Men: Days of Future Past	8
49	3.54498168	The Amazing Spider-Man 2	6.699999809
50	2.800776915	Cars 2	6.199999809
51	2.000313815	Tron: Legacy	6.800000191
52	3.942042695	2012	5.800000191
53	1.82745896	Terminator Salvation	6.599999905
54	1.09767746	Green Lantern	5.599999905
55	1.572972985	Prince of Persia: Sands of Time	6.6
56	5.763028426	Transformers: Dark of the Moon	6.300000191
57	2.104273467	The Mummy	7
58	1.013782579	Jack the Giant Slayer	6.300000191
59	7.982887811	Furious 7	7.199999809
60	2.459903074	Star Trek Into Darkness	7.800000191
61	2.797445526	World War Z	7
62	1.847581153	The Great Gatsby	7.300000191
63	1.661629984	Disney�s A Christmas Carol	6.8
64	2.163173189	Pacific Rim	7
65	1.783161024	The Good Dinosaur	6.699999809
66	3.146083586	Iron Man	7.900000095
67	5.414165503	The Dark Knight	9
68	4.251665649	Indiana Jones and the Kingdom of the Crystal Skull	6.199999809
69	2.997873146	Brave	7.199999809
70	3.033176903	Kong: Skull Island	6.699999809
71	1.818369254	Star Trek Beyond	7.1
72	1.398765303	Blade Runner 2049	8.300000191
